"GC","HDL","IFNb","IFNg","IFNg_TNF","IL10","IL13","IL4","IL4_upLPS","LA","LiA","OA","P3C","P3C_PGE2","PA","PGE2","SA","TNF","TNF_P3C","TNF_PGE2","TPP","TPP_IFNb","TPP_IFNb_IFNg","sLPS","sLPS_IC","sLPS_IFNg","upLPS","upLPS_IC"
"Eif4a3l1","Zbtb34","Nkd1","Psme2","Cln5","Tmem127","Sox8","Wnt5a","Pdcd1lg2","Cd82","Rrp15","Slc22a4","Antxr2","Epb41l3","Sphk1","Col23a1","Tgm2","Apol9a","C1qtnf1","Adarb1","Alox8","Ehd1","Upb1","Mrps6","Mypop","Adora2a","Mrps6","Mlxipl"
"Ear2","Rab40c","Ccdc80","Ifit2","Fnbp4","Tnnt1","Aldh5a1","Sucnr1","Crh","Ptrh2","Fgr","Pus7","Cxcl5","Ivns1abp","Slc6a6","Wipi1","Cpt1a","Lamb3","Ets1","Nfe2l1","Serpine1","Adamdec1","Tmem132a","Cyp3a57","Sod2","Gm36028","Sp100","Man1a"
"Alcam","Blzf1","Atf7ip2","Gm36028","Snx10","Kcnq1","Ppm1f","Gm13547","Palld","Abhd2","Bccip","Abcc3","Tmem127","Satb1","Tm4sf19","Hif1a","Mrto4","Nkg7","Ehd1","Hax1","Cnih4","Fpr2","Zmiz2","Tnip1","Usp13","Glis3","Arrdc2","Flnb"
"Glul","Ssxa1","Nwd1","Lap3","Serping1","Ccdc92","Batf3","Krt17","Lrrc32","Myoz1","Snora33","Dkc1","Hs3st1","Kl","Abcc3","Pde1b","Mmp19","Ikbke","Lrrc32","Lat","Acot7","Panx2","Ehd1","Ptpn1","Rnf145","Ccl8","Sema6b","Ell2"
"Idh1","Baz1a","Capza3","Cul1","Spg11","Zfp687","Krt17","Pelp1","G6pdx","Ebna1bp2","Gpr180","Mrto4","Tfpi","Pdk4","Txnrd1","Ppbp","Fgr","Cyp27b1","Traf3ip2","Orm3","Camp","Acvr1b","Pim2","Map1lc3a","Mctp2","Gramd1a","Notch3","Kctd3"
"Gimap1","Ndrg4","Zc3h18","Elf4","Ncf1","Fabp3","Mrpl55","Ppm1f","Acox3","1110065P20Rik","Slc25a22","Tspan13","Zhx2","Dnah17","G6pdx","Tmem127","Abhd2","Mpzl1","Foxc1","Fbxl20","Tspan3","Plagl2","C130074G19Rik","Cyp26a1","Gramd1a","Lrrc38","Wasl","Htra4"
"Eps8","Arl8a","Nav3","Wdfy1","Gdi1","Eaf1","Rap1gap","Xpnpep2","Ggt5","Polr1c","Aldh1a2","Spats2l","Clec4g","Sytl3","Plin2","Kitl","Wdr4","Usp13","Gadd45a","Fam20a","Ppme1","Ell2","Marcksl1","Prkch","Vegfa","Prr16","Zswim4","Idh1"
"Echdc3","Phka2","Slc35c1","Colq","Crispld2","Krt77","Fcer2a","Fam126a","Lyrm1","Ccdc86","Dkc1","Ipo4","Atp1b3","Insm1","Tfrc","Ocrl","Cd82","Mypop","Nr3c1","Mkln1","Lmo4","Tfpi","Map1lc3a","Poldip3","Wdr33","Zswim4","Lpp","Siglecg"
"Ms4a4d","Mlana","Foxa2","Nfix","Slc1a5","Il17rb","Appl1","Rtkn","Mat2a","Apoe","Tmem33","Nme1","Plin2","Atp1b3","Stx4a","Abhd6","Mcoln3","Cd38","Tnfrsf22","Sirpb1c","Tmem132a","Cep350","Fyn","F11r","Panx2","Slc5a3","Nkg7","Eif1b"
"Slc40a1","Mdm2","Fibp","Apol6","Csrnp2","3425401B19Rik","Ppp1r16a","Auh","Ramp1","Nme1","Marcksl1","Slc5a6","Ibsp","Gna15","Hyou1","Tgfa","Nmt2","Gypc","Zbtb2","Pag1","Mreg","Slamf1","Btg3","Tnfaip6","Sestd1","Mtf1","Tmem38b","Fam20c"
"Tpst1","Hydin","Wdr73","Xkr8","Traf3ip2","Ccdc106","Palld","Nagpa","Auh","Ipo4","Neto2","Brix1","Cdca4","Il2ra","Ncam1","Pim2","Tmem38b","Tmem205","Panx2","Dram1","Rftn1","Fyn","Slc18a1","Adora2a","Il13ra1","Ccdc68","Fnbp4","Fah"
"Elane","Slc12a1","Nxf2","Ppargc1b","Apba3","Pcsk5","BC028528","Ascl2","Ccl17","Tbl2","Abhd2","Ccdc86","Glul","Plaur","Lonrf3","Zzef1","Slc22a4","Car12","Chmp4b","Elmo2","Pkd2","Pgs1","Rhbdf2","Trip10","Mfap3","St3gal1","Luc7l","Ankrd29"
"Ctns","Pptc7","1110059G10Rik","Slamf7","Baz1b","Gchfr","Etv6","Rap1gap","Shpk","St14","Dph2","Prdx4","Aph1b","Traf3ip2","Gla","Arhgap20","Slc35b1","Traf3ip2","Map3k4","Phip","Srgn","Vnn1","Tnfrsf22","Crispld2","Fbxl20","Cyp26a1","Tcea2","C1qa"
"Tmigd3","Srfbp1","Oas2","Gpc4","Sptan1","Clec7a","Cbr3","Arhgap10","Ccl9","Flnb","Pdlim7","Grwd1","Cd300lg","Ebf1","Traf3ip2","Hsdl2","Flnb","Ptges","Lif","Exog","Fam124a","Aco1","Alox8","Pgs1","Cbln3","Pde4d","Mkln1","Agap3"
"Shmt1","Taf13","Hsfy2","Xrn1","Kif1b","Coro2a","Nfil3","Il1r1","Gadd45a","Cpt1a","Phldb1","Mars2","Hmox1","Elmo2","Fam20c","Slc35b4","Tomm40","Cflar","Grpel1","Fcer2a","Phldb1","Nkg7","Prkch","Slc36a4","Slamf1","Slc43a2","Patl1","Sntb1"
"Mpzl2","Gne","Tbrg1","Fam126b","Parp14","Trem2","Abat","2900026A02Rik","Zfp317","Ccl7","Hs3st1","Pprc1","Ninj1","Plagl2","Plekhf1","Cd19","Pmm2","Baz1b","Slc35f2","Apba3","Slco4a1","Pim2","Rftn1","Cep350","Il10ra","Fam110b","Fth1","Sat1"
"P2ry12","Alkbh8","Rtn4rl2","Stx11","Tmem140","Fam104a","Syt17","Tpm2","Cd274","Pprc1","Prdx4","Gna12","Csf2","Fcamr","Slc35b1","Srgn","Plin2","Lad1","Twist1","Plagl2","Crispld2","Vegfa","Lad1","Cd82","Slc16a10","Il15","Srgn","Dvl3"
"Plch1","Cnbd1","Agr3","Akirin2","Cbx8","Sil1","Gpd1l","BC028528","Espnl","Bccip","Mars2","Ikbke","Srgn","Crlf2","Flnb","Cthrc1","Tm4sf19","Tspan3","Myh11","Plekhg3","Tsku","Arnt2","Ccl5","Car12","Foxc1","Rybp","P4htm","Plxna1"
"Gprc5c","Ppfibp1","Gdf10","Fcgr1","Zfp385a","Slc16a5","Igf2bp2","Cd209d","C1qtnf1","Mpp6","Tfb2m","Plxna1","Tnfrsf21","Pde4d","Pmm2","Dpp4","G6pdx","Mmp9","Ildr1","Clec4d","Hivep1","Aqp9","Lrrfip2","Pde4b","St3gal2","Adamdec1","Avpi1","Ptger2"
"Gadd45b","Ngf",NA,"Prrx1","Slc3a2","Dpep3","Epn2","Ttc9c","Il2ra","Acsl3","Slc7a11","Ppil1","Ddah1","Tcf4","Mrto4","Emilin2","Btg3","Manbal","Tmem205","Mutyh","Acox3","Mrps6","Tnfrsf22","Ehd1","Mdm1","Crkl","Cxcl16","C1rl"
"Fah",NA,NA,"Apol9a","Ebag9","Cdk9","Dennd4c","Dagla","Pelp1","Psma6","Pus1","Ctu2","Ifnar1","Cxcl16","Srxn1","Cxcr5","Ppan","Aco1","Fyn","C1qtnf1","Slc1a3","Zfp281","Poldip3","Srgn","Tnfaip6","Traf3ip2","Adarb1","Cnih4"
"Timp4",NA,NA,"Ctrl","Iscu","Cpe","St13","Map1a","Rnf19b","Traf3ip2","Srprb","Polr1c","Tmem50a","Panx2","Rsc1a1","Fuz","Mrpl14","Exog","Ptpn1","Parp10","Ahcyl1","Srgn","Prdm8","Mamld1","Heatr6","Slamf7","Wdfy1","Thbs1"
"Klf9",NA,NA,"Plekho1","Tbx19","Dpp4","Plcb1","Crh","Ak2","Rpl34","Ddx31","Matk","Il6","Ppbp","Uck2","Hs3st1","Preb","Cep350","Upb1","Ankra2","Rasgrp1","Adora2a","Cep350","Gramd1a","Uimc1","Usp13","Apbb3","Rragd"
"Fbln5",NA,NA,"Fem1c","Cxcl10","Shpk","Clybl","Gfra2","Sema4a","Mrpl14","Fbxl6","Maoa","Tmem37","Zzef1","Mitf","Rhobtb3","Mfsd10","Fam20a","Actl7b","Stat1","1810010H24Rik","Clec4d","Hopx","Rapgef1","Glis3","Nsun7","Parp14","Hsdl2"
"C1qa",NA,NA,"Cryab","Mkln1","Zfp668","Cerk","St6gal1","Ptpre","Slco4c1","Eml4","Steap1","Apip","Bmp6","Prkch","Slc25a44","Tnfrsf9","Il2ra","Il2ra","Kpnb1","Ptprf","Rnf145","Hif1a","Btg3","Wsb1","Zhx2","Stx4a","Gusb"
"Antxr2",NA,NA,"Zbtb43","Lat",NA,"Rpl14","Igf2bp2","Cttn","Atp1a1","Ebna1bp2","Rpl34","Gk5","Brpf3","Sox13","Igfbp4","Maoa","Fth1","Nsun7","Nfe2l3","Slamf1","Gzmc","Pde4b","Sestd1","Il1a","Xrn1","Ms4a14","Tcn2"
"Ccl3",NA,NA,"Slco4a1","Zfp46",NA,"Adam12","Ccnh","Cyp27b1","Il1rn","Nfkbie","Snrpa1","Bmp6","Mxd1","Mreg","Cd79a","Pdlim7","Clcn7","Pstpip2","Map1lc3a","Gypc","Ninj1","Slamf1","Nck2","A4galt","Lyn","Zdhhc19","Add3"
"Gal3st4",NA,NA,"Psmb10","Ypel4",NA,"Shpk","Etv6","Zwilch","Ctu2","Gpatch4","Il4i1","Sstr5","Tmem127","Tomm40","Ccl9","Pprc1","Atg2a","Card11","Crkl","Lamb3","Prkch","Cd82","Nampt","Vamp4","Car12","Safb","Ms4a4d"
